applicant_id,age,annual_income,employment_years,existing_debt,requested_loan_amount,credit_history_length,num_late_payments_last_2y,dti_ratio,default
APP00000,59,139369.0,5.4,3653.0,34792.0,0,1,0.026,0
APP00001,49,64171.0,0.2,7644.0,15061.0,6,0,0.119,0
APP00002,35,77672.0,5.2,20539.0,40752.0,6,3,0.264,1
APP00003,63,43724.0,5.5,20794.0,38432.0,9,1,0.476,1
APP00004,28,38599.0,1.7,80785.0,45076.0,5,0,2.093,1
APP00005,41,32149.0,0.9,6463.0,39932.0,19,0,0.201,0
APP00006,59,46977.0,9.2,34014.0,130798.0,11,2,0.724,0
APP00007,39,158940.0,1.6,17994.0,72912.0,12,2,0.113,0
APP00008,43,33646.0,4.9,3597.0,37171.0,23,0,0.107,0
APP00009,31,62833.0,2.6,8619.0,39267.0,10,1,0.137,0
APP00010,31,38309.0,2.3,16482.0,104629.0,17,1,0.43,0
APP00011,44,54150.0,0.8,3417.0,60953.0,1,0,0.063,1
APP00012,56,79606.0,4.9,2542.0,17372.0,15,1,0.032,0
APP00013,60,51531.0,6.5,3265.0,64175.0,1,1,0.063,0
APP00014,44,126100.0,4.7,16437.0,76549.0,18,2,0.13,0
APP00015,23,157470.0,1.8,9066.0,95859.0,5,1,0.058,0
APP00016,42,23753.0,2.5,8136.0,28541.0,0,0,0.343,0
APP00017,22,51974.0,2.8,8362.0,27319.0,10,0,0.161,0
APP00018,44,75325.0,5.2,4276.0,20638.0,17,2,0.057,0
APP00019,64,128420.0,7.1,9273.0,43690.0,9,1,0.072,0
APP00020,50,58272.0,2.7,3114.0,56372.0,17,0,0.053,0
APP00021,58,72405.0,0.5,34548.0,26689.0,0,1,0.477,1
APP00022,22,41012.0,0.5,51734.0,33353.0,18,1,1.261,1
APP00023,41,33983.0,1.7,2078.0,10591.0,15,1,0.061,0
APP00024,53,150647.0,6.3,9179.0,89830.0,6,1,0.061,0
APP00025,32,29377.0,4.9,9670.0,14200.0,14,0,0.329,0
APP00026,42,234289.0,5.4,11619.0,45473.0,0,1,0.05,0
APP00027,64,105090.0,1.8,29769.0,41896.0,22,0,0.283,0
APP00028,45,102743.0,2.3,9201.0,37327.0,20,1,0.09,0
APP00029,47,97512.0,6.2,12449.0,37846.0,8,0,0.128,0
APP00030,62,64451.0,9.5,144820.0,19790.0,1,0,2.247,1
APP00031,48,88969.0,6.3,12222.0,29827.0,16,0,0.137,0
APP00032,36,66540.0,6.3,54885.0,64950.0,24,0,0.825,0
APP00033,35,96427.0,1.7,19962.0,77582.0,23,1,0.207,0
APP00034,64,71909.0,5.2,8579.0,28211.0,9,2,0.119,0
APP00035,23,45471.0,1.0,7506.0,14239.0,5,1,0.165,0
APP00036,57,47321.0,6.9,13282.0,22761.0,4,0,0.281,0
APP00037,27,44706.0,4.2,5425.0,110373.0,7,1,0.121,0
APP00038,41,118830.0,2.6,6694.0,23588.0,7,1,0.056,0
APP00039,29,53706.0,0.3,9524.0,34258.0,4,0,0.177,0
APP00040,59,28112.0,2.6,16893.0,84927.0,11,0,0.601,1
APP00041,38,89181.0,3.3,57572.0,26473.0,6,0,0.646,0
APP00042,24,155945.0,3.5,9064.0,32882.0,12,1,0.058,0
APP00043,45,107639.0,2.7,19326.0,58495.0,12,2,0.18,0
APP00044,34,54086.0,2.1,3633.0,101426.0,16,1,0.067,0
APP00045,29,33077.0,1.6,31202.0,24653.0,3,0,0.943,0
APP00046,46,68382.0,9.5,3370.0,83722.0,17,1,0.049,0
APP00047,22,67534.0,11.3,25304.0,30671.0,9,0,0.375,0
APP00048,40,45044.0,3.9,12522.0,21342.0,2,1,0.278,0
APP00049,48,96328.0,1.7,12130.0,42181.0,11,0,0.126,0
APP00050,27,184115.0,1.3,10507.0,18132.0,0,0,0.057,1
APP00051,64,81727.0,2.7,4717.0,48204.0,10,1,0.058,0
APP00052,28,79240.0,11.0,4922.0,240335.0,17,0,0.062,0
APP00053,55,45770.0,4.0,26088.0,70499.0,12,4,0.57,1
APP00054,34,147076.0,7.4,13488.0,34100.0,16,1,0.092,0
APP00055,37,70434.0,7.3,10446.0,68277.0,7,0,0.148,0
APP00056,56,54749.0,5.3,19048.0,20766.0,19,1,0.348,0
APP00057,60,75497.0,1.2,14488.0,22967.0,18,1,0.192,0
APP00058,24,92594.0,7.3,7084.0,34672.0,16,1,0.077,0
APP00059,22,78402.0,1.0,95683.0,38279.0,1,0,1.22,1
APP00060,26,133663.0,1.7,24164.0,16714.0,2,0,0.181,0
APP00061,62,88609.0,4.1,14789.0,30216.0,2,1,0.167,1
APP00062,24,63451.0,2.5,8858.0,33298.0,5,0,0.14,0
APP00063,49,89375.0,4.1,28630.0,91600.0,9,1,0.32,0
APP00064,38,93884.0,1.0,7115.0,16714.0,23,1,0.076,0
APP00065,46,38247.0,1.7,6651.0,15810.0,21,0,0.174,0
APP00066,64,129925.0,5.2,51775.0,40353.0,17,0,0.398,0
APP00067,54,62916.0,16.8,13692.0,72441.0,17,0,0.218,0
APP00068,30,63725.0,8.5,7254.0,50562.0,13,0,0.114,0
APP00069,56,106477.0,0.7,13421.0,43547.0,15,0,0.126,0
APP00070,34,106253.0,2.7,26374.0,30541.0,6,0,0.248,0
APP00071,51,51513.0,2.0,21961.0,54484.0,0,0,0.426,1
APP00072,35,109256.0,3.3,29127.0,59643.0,16,2,0.267,0
APP00073,28,55258.0,4.1,4917.0,31120.0,22,2,0.089,0
APP00074,34,181641.0,2.1,28547.0,20554.0,24,2,0.157,0
APP00075,43,48335.0,6.7,11577.0,20635.0,4,1,0.24,0
APP00076,60,82433.0,7.5,14347.0,61528.0,0,0,0.174,1
APP00077,41,49464.0,7.2,35158.0,14378.0,20,0,0.711,0
APP00078,36,222203.0,1.5,23440.0,99333.0,16,2,0.105,0
APP00079,38,39383.0,4.2,17692.0,27621.0,9,0,0.449,1
APP00080,44,95052.0,6.8,2732.0,43727.0,11,1,0.029,0
APP00081,46,50642.0,5.9,12882.0,55328.0,24,1,0.254,0
APP00082,45,61264.0,5.7,7131.0,24096.0,19,0,0.116,0
APP00083,61,91745.0,8.6,23596.0,27558.0,24,0,0.257,0
APP00084,49,134900.0,2.3,29518.0,39308.0,1,0,0.219,1
APP00085,35,164670.0,0.6,10492.0,21759.0,22,0,0.064,0
APP00086,21,33912.0,2.6,7835.0,19138.0,15,1,0.231,0
APP00087,45,83606.0,2.8,46399.0,20198.0,14,0,0.555,0
APP00088,27,151713.0,15.2,8246.0,75018.0,12,1,0.054,0
APP00089,29,31487.0,1.9,5138.0,46109.0,17,0,0.163,0
APP00090,44,85579.0,7.4,6863.0,22564.0,19,0,0.08,0
APP00091,21,73054.0,13.4,8570.0,61307.0,21,0,0.117,0
APP00092,64,89974.0,11.5,6707.0,23327.0,13,2,0.075,0
APP00093,28,49704.0,3.3,26273.0,11268.0,17,1,0.529,0
APP00094,44,35674.0,6.0,2302.0,55165.0,1,0,0.065,0
APP00095,31,28098.0,4.0,6594.0,97513.0,1,1,0.235,1
APP00096,37,119156.0,1.7,12862.0,50758.0,2,0,0.108,1
APP00097,28,127010.0,8.3,15807.0,11703.0,4,1,0.124,0
APP00098,55,85080.0,5.1,51713.0,35806.0,24,0,0.608,0
APP00099,55,55990.0,1.5,45991.0,30799.0,15,2,0.821,0
APP00100,53,32483.0,2.5,3712.0,45566.0,21,2,0.114,0
APP00101,25,96923.0,2.9,2903.0,21843.0,14,0,0.03,0
APP00102,62,42176.0,7.6,13629.0,29730.0,11,1,0.323,0
APP00103,59,51244.0,1.1,7797.0,15490.0,8,1,0.152,0
APP00104,61,54542.0,1.1,5148.0,41484.0,13,0,0.094,0
APP00105,48,66253.0,3.9,13533.0,15840.0,20,1,0.204,0
APP00106,27,50035.0,1.4,16068.0,47214.0,15,0,0.321,0
APP00107,29,74364.0,2.9,6828.0,23148.0,10,0,0.092,0
APP00108,28,53589.0,2.2,8109.0,5515.0,5,0,0.151,0
APP00109,32,103848.0,0.3,7262.0,58469.0,9,2,0.07,0
APP00110,54,122459.0,1.9,9612.0,48846.0,7,0,0.078,0
APP00111,53,77209.0,2.8,20602.0,81778.0,15,1,0.267,0
APP00112,43,92163.0,6.5,5640.0,10362.0,2,3,0.061,1
APP00113,44,210855.0,11.6,8002.0,24521.0,1,0,0.038,1
APP00114,57,40688.0,1.7,9707.0,39299.0,15,1,0.239,0
APP00115,55,39469.0,3.8,13288.0,51176.0,18,0,0.337,0
APP00116,64,103518.0,4.8,16660.0,15097.0,8,0,0.161,0
APP00117,60,193546.0,14.5,68446.0,47046.0,15,0,0.354,0
APP00118,42,64200.0,2.1,21114.0,25769.0,21,0,0.329,0
APP00119,47,173411.0,1.6,21520.0,11932.0,3,0,0.124,0
APP00120,55,76743.0,2.5,10794.0,23146.0,9,2,0.141,0
APP00121,21,52029.0,1.6,6100.0,49445.0,18,1,0.117,0
APP00122,55,44563.0,5.4,8755.0,12235.0,12,1,0.196,0
APP00123,57,100178.0,6.6,7568.0,53222.0,17,1,0.076,0
APP00124,34,46283.0,4.0,18284.0,43046.0,14,1,0.395,0
